name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
imported/sherlock/name-sherlock-holmes-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,100.50ms,44.45us,261.00ns,45.08us,2.56us,43.47us,68.13us
imported/sherlock/name-sherlock-holmes-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,100.52ms,74.80us,61.00ns,75.59us,2.48us,74.59us,106.41us
imported/sherlock/name-alt3-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,451.88ms,342.01us,3.29us,344.00us,7.26us,331.94us,395.63us
imported/sherlock/name-alt3-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,198,752.28ms,2.52ms,14.71us,2.53ms,26.99us,2.49ms,2.67ms
imported/sherlock/name-alt3-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,551.83ms,493.07us,3.35us,494.78us,14.01us,482.66us,698.14us
imported/sherlock/name-alt5-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,301.65ms,219.59us,3.12us,219.21us,8.47us,200.85us,398.83us
imported/sherlock/name-alt5-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,355,651.94ms,1.41ms,8.75us,1.41ms,33.29us,1.34ms,1.51ms
imported/sherlock/name-alt5-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,301.74ms,243.59us,2.92us,246.66us,19.13us,238.10us,544.93us
imported/sherlock/the-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,451.13ms,369.43us,2.82us,371.09us,13.90us,357.18us,650.63us
imported/sherlock/the-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,551.81ms,480.27us,4.32us,480.64us,7.15us,459.55us,545.57us
imported/sherlock/the-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,551.99ms,486.10us,2.52us,486.26us,4.17us,475.91us,522.33us
opt/prefilter/literal-casei-english,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613357,1000,150.58ms,84.35us,649.00ns,85.05us,2.64us,81.29us,107.08us
opt/prefilter/literal-casei-english,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,613357,1000,100.50ms,44.52us,224.00ns,45.00us,2.05us,43.47us,68.94us
opt/prefilter/literal-casei-english,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613357,1000,100.54ms,64.11us,367.00ns,65.18us,3.29us,63.60us,128.61us
opt/prefilter/literal-casei-russian,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613423,1000,100.55ms,28.77us,40.00ns,29.21us,1.91us,28.62us,52.31us
opt/prefilter/literal-casei-russian,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,613423,1000,100.54ms,45.41us,406.00ns,46.13us,2.70us,44.61us,85.22us
opt/prefilter/literal-casei-russian,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613423,1000,101.35ms,80.94us,95.00ns,81.72us,2.25us,80.66us,106.69us
