goos: linux
goarch: amd64
pkg: github.com/tsenart/casei/arena
cpu: Intel(R) Xeon(R) CPU @ 2.60GHz
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    198497 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9801 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_miss_5mb         	       1	    150803 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9258 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    164199 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9631 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    168080 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.7516 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    180930 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.8896 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    157069 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         1.001 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    175779 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         1.020 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    272320 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9574 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    213419 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9901 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    187354 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         0.9343 x_vs_best
BenchmarkBar/multi/multi_N5_raw_transition_late_hit_5mb     	       1	    148195 ns/op	         1.000 candidate_active	       512.0 candidate_vector_bits	         4.000 competitors	         5.000 entrants	         0 go_ac_active	         0 go_ac_vector_bits	         1.000 pcre2_active	       128.0 pcre2_vector_bits	         1.000 regexp_active	         0 regexp_vector_bits	         0 rure_active	         0 rure_vector_bits	         0 rustac_active	         0 rustac_vector_bits	         1.000 stringzilla_active	       512.0 stringzilla_vector_bits	         1.000 vectorscan_active	         1.000 vectorscan_vbmi	       512.0 vectorscan_vector_bits	         0 veloz_active	         0 veloz_vector_bits	         1.125 x_vs_best
